asset,direction,signalTs,entryTs,entry,exitTs,exit,stopLoss,takeProfit,qty,risk,pnl,rMultiple,durationH,win,exitReason,ambiguous,passCount,condsPassed,condsFailed,rsi,macd,macdSignal,trend1h,trend4h,ema20,volume,atr,balanceAfter
SILVER,LONG,2025-11-19T06:00:00+00:00,2025-11-19T07:00:00+00:00,51.245,2025-11-19T16:00:00+00:00,50.7126,50.7126,52.3098,1.878004,0.9999,-0.9999,-1.0,9.0,False,STOP_LOSS,False,6,4h Trend|1h Trend|RSI|MACD Momentum|Price vs MA|Volume,,61.84811701123423,0.20597046195989321,0.126850700685677,BULLISH,BULLISH,50.61240154965183,2906.0,0.3549432866177553,98.9879
SILVER,SHORT,2025-11-21T05:00:00+00:00,2025-11-21T06:00:00+00:00,49.2,2025-11-21T16:00:00+00:00,49.9045,49.9045,47.7909,1.404998,0.9899,-0.9899,-1.0,10.0,False,STOP_LOSS,False,6,4h Trend|1h Trend|RSI|MACD Momentum|Price vs MA|Volume,,31.601820121009254,-0.3703828233445563,-0.2513483690409538,BEARISH,BEARISH,50.13420083328762,4186.0,0.4696940516436961,97.998
SILVER,LONG,2025-11-25T11:00:00+00:00,2025-11-25T12:00:00+00:00,51.525,2025-11-25T14:00:00+00:00,50.6294,50.6294,53.3162,1.094237,0.98,-0.98,-1.0,2.0,False,STOP_LOSS,False,6,4h Trend|1h Trend|RSI|MACD Momentum|Price vs MA|Volume,,65.94589844433028,0.35814613267275064,0.35786233106314963,BULLISH,BULLISH,50.99529926772011,3035.0,0.5970550032062681,97.018
SILVER,LONG,2025-11-26T15:00:00+00:00,2025-11-26T16:00:00+00:00,53.095,2025-11-28T16:30:00+00:00,56.3116,51.4867,56.3116,0.603226,0.9702,1.9404,2.0,48.5,True,TAKE_PROFIT,False,6,4h Trend|1h Trend|RSI|MACD Momentum|Price vs MA|Volume,,64.44900703891034,0.3596475456599464,0.3503629036962706,BULLISH,BULLISH,52.24800354171138,8888.0,1.0722122923795654,98.9584
SILVER,LONG,2025-11-30T23:00:00+00:00,2025-12-01T00:00:00+00:00,57.705,2025-12-09T19:00:00+00:00,61.1746,55.9702,61.1746,0.570437,0.9896,1.9792,2.0,211.0,True,TAKE_PROFIT,False,6,4h Trend|1h Trend|RSI|MACD Momentum|Price vs MA|Volume,,86.21016025115445,1.2206293022921813,0.8558344969552196,BULLISH,BULLISH,54.82322824848438,7750.0,1.1565216443533497,100.9375
SILVER,LONG,2025-12-10T01:00:00+00:00,2025-12-10T02:00:00+00:00,61.84,2025-12-10T14:00:00+00:00,60.7438,60.7438,64.0323,0.92083,1.0094,-1.0094,-1.0,12.0,False,STOP_LOSS,False,6,4h Trend|1h Trend|RSI|MACD Momentum|Price vs MA|Volume,,79.5278020493806,0.746370458181012,0.5985185246758986,BULLISH,BULLISH,60.36064620548599,7196.0,0.7307724409915396,99.9281
SILVER,LONG,2025-12-11T00:00:00+00:00,2025-12-11T01:00:00+00:00,62.69,2025-12-12T11:00:00+00:00,64.7415,61.6643,64.7415,0.974218,0.9993,1.9986,2.0,34.0,True,TAKE_PROFIT,False,6,4h Trend|1h Trend|RSI|MACD Momentum|Price vs MA|Volume,,69.83195803631334,0.4160483931178689,0.34974227487658377,BULLISH,BULLISH,61.56339116177486,5297.0,0.6838179662556502,101.9267
SILVER,LONG,2025-12-17T01:00:00+00:00,2025-12-17T02:00:00+00:00,65.86,2025-12-18T14:00:00+00:00,64.8521,64.8521,67.8759,1.011234,1.0193,-1.0193,-1.0,36.0,False,STOP_LOSS,False,6,4h Trend|1h Trend|RSI|MACD Momentum|Price vs MA|Volume,,77.96031249062295,0.3037874500778486,0.11464101708385632,BULLISH,BULLISH,63.79203894941709,15684.0,0.6719625865061454,100.9074
SILVER,LONG,2025-12-19T17:00:00+00:00,2025-12-19T18:00:00+00:00,67.59,2025-12-22T02:00:00+00:00,69.1415,66.8142,69.1415,1.300777,1.0091,2.0181,2.0,56.0,True,TAKE_PROFIT,False,6,4h Trend|1h Trend|RSI|MACD Momentum|Price vs MA|Volume,,72.57035544187673,0.3475829742691161,0.12916310352105587,BULLISH,BULLISH,66.23004264602913,6344.0,0.5171650672535641,102.9256
SILVER,LONG,2025-12-22T05:00:00+00:00,2025-12-22T06:00:00+00:00,68.64,2025-12-23T13:00:00+00:00,70.1776,67.8712,70.1776,1.338783,1.0293,2.0585,2.0,31.0,True,TAKE_PROFIT,False,6,4h Trend|1h Trend|RSI|MACD Momentum|Price vs MA|Volume,,67.10387325939942,0.809582532154991,0.6405069471439337,BULLISH,BULLISH,67.70431070753288,7101.0,0.512532992705157,104.9841
SILVER,LONG,2025-12-23T16:00:00+00:00,2025-12-23T17:00:00+00:00,70.64,2025-12-24T01:00:00+00:00,72.6947,69.6126,72.6947,1.021891,1.0498,2.0997,2.0,8.0,True,TAKE_PROFIT,False,6,4h Trend|1h Trend|RSI|MACD Momentum|Price vs MA|Volume,,65.23543552624005,0.39175055365403466,0.36982153632112386,BULLISH,BULLISH,69.59736651099706,9657.0,0.6849005905552585,107.0838
SILVER,LONG,2025-12-26T10:00:00+00:00,2025-12-26T11:00:00+00:00,75.105,2025-12-26T11:00:00+00:00,73.8771,73.8771,77.5609,0.872069,1.0708,-1.0708,-1.0,0.0,False,STOP_LOSS,False,6,4h Trend|1h Trend|RSI|MACD Momentum|Price vs MA|Volume,,71.24333307225906,1.2448321122877815,0.9878171963763275,BULLISH,BULLISH,72.95872345111631,5373.0,0.8186190467904879,106.0129
SILVER,LONG,2025-12-26T13:00:00+00:00,2025-12-26T14:00:00+00:00,74.6,2025-12-26T18:00:00+00:00,77.2216,73.2892,77.2216,0.808756,1.0601,2.1203,2.0,4.0,True,TAKE_PROFIT,False,6,4h Trend|1h Trend|RSI|MACD Momentum|Price vs MA|Volume,,64.48653885374506,1.1198184591519293,1.0688711794153356,BULLISH,BULLISH,73.34270750676778,9652.0,0.8738770671362474,108.1332
